Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
buffDSFocusKnucklesName,ui,Buff,,,,Focused Study: Knuckles,,,,,,,,,,,,,
buffDSFocusKnucklesDesc,ui,Buff,,,,Your study of knuckles sharpens your focus. Weapon skill gain from use is doubled for 10 minutes.,,,,,,,,,,,,,
knucklesSkillMagazineDesc,items,Gun,,,,Reading this magazine grants Focused Study: Knuckles — a temporary buff that doubles weapon skill gain from use for 10 minutes.,,,,,,,,,,,,,
buffDSFocusBladesName,ui,Buff,,,,Focused Study: Blades,,,,,,,,,,,,,
buffDSFocusBladesDesc,ui,Buff,,,,Your study of blades sharpens your focus. Weapon skill gain from use is doubled for 10 minutes.,,,,,,,,,,,,,
bladesSkillMagazineDesc,items,Gun,,,,Reading this magazine grants Focused Study: Blades — a temporary buff that doubles weapon skill gain from use for 10 minutes.,,,,,,,,,,,,,
buffDSFocusClubsName,ui,Buff,,,,Focused Study: Clubs,,,,,,,,,,,,,
buffDSFocusClubsDesc,ui,Buff,,,,Your study of clubs sharpens your focus. Weapon skill gain from use is doubled for 10 minutes.,,,,,,,,,,,,,
clubsSkillMagazineDesc,items,Gun,,,,Reading this magazine grants Focused Study: Clubs — a temporary buff that doubles weapon skill gain from use for 10 minutes.,,,,,,,,,,,,,
buffDSFocusSledgehammersName,ui,Buff,,,,Focused Study: Sledgehammers,,,,,,,,,,,,,
buffDSFocusSledgehammersDesc,ui,Buff,,,,Your study of sledgehammers sharpens your focus. Weapon skill gain from use is doubled for 10 minutes.,,,,,,,,,,,,,
sledgehammersSkillMagazineDesc,items,Gun,,,,Reading this magazine grants Focused Study: Sledgehammers — a temporary buff that doubles weapon skill gain from use for 10 minutes.,,,,,,,,,,,,,
buffDSFocusSpearsName,ui,Buff,,,,Focused Study: Spears,,,,,,,,,,,,,
buffDSFocusSpearsDesc,ui,Buff,,,,Your study of spears sharpens your focus. Weapon skill gain from use is doubled for 10 minutes.,,,,,,,,,,,,,
spearsSkillMagazineDesc,items,Gun,,,,Reading this magazine grants Focused Study: Spears — a temporary buff that doubles weapon skill gain from use for 10 minutes.,,,,,,,,,,,,,
