Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
DSZiplineAnchor,blocks,Block,,,,Sonic Zipline Anchor,,,,,,,,,,,,,
DSZiplineAnchorDesc,blocks,Block,,,,Advanced anchor with a solid cyan Sonic cable. Connect two Sonic anchors for high-speed 16 m/s travel.,,,,,,,,,,,,,
DSZiplineAnchorWood,blocks,Block,,,,Wooden Zipline Anchor,,,,,,,,,,,,,
DSZiplineAnchorWoodDesc,blocks,Block,,,,Primitive weathered-timber anchor with a static black cable. Connect two wooden anchors for steady 4 m/s travel.,,,,,,,,,,,,,
DSZiplineTool,items,Item,,,,Zipline Tool,,,,,,,,,,,,,
DSZiplineToolDesc,items,Item,,,,Connects matching wooden anchors up to 250 meters or Sonic anchors up to 500 meters. Secondary action connects; primary action disconnects.,,,,,,,,,,,,,
DSZiplineRide,ui,BlockActivation,,,,Ride Zipline,,,,,,,,,,,,,
DSZiplineNoRoute,ui,Tooltip,,,,No valid downhill zipline is connected to this anchor.,,,,,,,,,,,,,
DSZiplineStarted,ui,Tooltip,,,,Zipline prototype started. Press Jump or Use to release.,,,,,,,,,,,,,
DSZiplineRidePrompt,ui,BlockActivation,,,,{0} Ride Zipline,,,,,,,,,,,,,
DSZiplineWirePrompt,ui,BlockActivation,,,,Use the Zipline Tool to connect this anchor.,,,,,,,,,,,,,
DSZiplineLowerPrompt,ui,BlockActivation,,,,Zipline connected. Ride from the higher anchor.,,,,,,,,,,,,,
DSZiplineAnchorOnly,ui,Tooltip,,,,The Zipline Tool only connects zipline anchors.,,,,,,,,,,,,,
DSZiplineTierMismatch,ui,Tooltip,,,,Wooden and Sonic anchors cannot be connected to each other.,,,,,,,,,,,,,
DSZiplineRangeExceeded,ui,Tooltip,,,,This anchor tier supports routes up to {0:0} meters.,,,,,,,,,,,,,
